thisRow.t,notes,trial_index,filename,source,gender,emotion,resp_key,rt,correct,missing_file,participant,session,
,,1,real_man5_smiling.JPG,non-ai,male,happy,right,0.8350890000001527,True,False,alon,001,
,,2,ai_happy_man_07.jpg,ai,male,happy,right,0.6638040840043686,True,False,alon,001,
,,3,real_man9_smiling.JPG,non-ai,male,happy,right,0.9325505000015255,True,False,alon,001,
,,4,ai_happy_man_03.jpg,ai,male,happy,right,0.5679938749817666,True,False,alon,001,
,,5,real_woman3_smiling.JPG,non-ai,female,happy,right,1.2502078749821521,True,False,alon,001,
,,6,real_man1_smiling.JPG,non-ai,male,happy,right,0.7532322920160368,True,False,alon,001,
,,7,real_man7_smiling.JPG,non-ai,male,happy,left,1.3617043750127777,False,False,alon,001,
,,8,real_woman13_sad.JPG,non-ai,female,sad,left,0.6807693330047186,True,False,alon,001,
,,9,AI_sad_man_10.jpg,ai,male,sad,left,0.598291166999843,True,False,alon,001,
,,10,AI_sad_woman_04.jpg,ai,female,sad,left,0.4854305840271991,True,False,alon,001,
,,11,AI_sad_man_05.jpg,ai,male,sad,left,0.8650236249959562,True,False,alon,001,
,,12,real_woman1_smiling.JPG,non-ai,female,happy,right,0.7637062089925166,True,False,alon,001,
,,13,real_man20_sad.JPG,non-ai,male,sad,left,0.9348661249969155,True,False,alon,001,
,,14,real_man12_sad.JPG,non-ai,male,sad,left,1.4581446670053992,True,False,alon,001,
,,15,real_man13_sad.JPG,non-ai,male,sad,left,0.6924746249860618,True,False,alon,001,
,,16,real_man15_sad.JPG,non-ai,male,sad,left,0.60113083399483,True,False,alon,001,
,,17,AI_sad_man_09.jpg,ai,male,sad,left,0.6564381250063889,True,False,alon,001,
,,18,AI_sad_man_07.jpg,ai,male,sad,left,0.7021142919838894,True,False,alon,001,
,,19,AI_sad_woman_07.jpg,ai,female,sad,left,0.5459949159994721,True,False,alon,001,
,,20,AI_happy_woman_05.jpg,ai,female,happy,right,0.8402264589967672,True,False,alon,001,
,,21,AI_sad_man_01.jpg,ai,male,sad,left,1.264985624991823,True,False,alon,001,
,,22,real_woman15_sad.JPG,non-ai,female,sad,left,1.1013617500138935,True,False,alon,001,
,,23,real_woman14_sad.JPG,non-ai,female,sad,left,0.6894597499922384,True,False,alon,001,
