thisRow.t,notes,trial_index,filename,source,gender,emotion,resp_key,rt,correct,missing_file,participant,session,
,,1,real_woman13_sad.JPG,non-ai,female,sad,left,0.5663445419922937,True,False,angelo,001,
,,2,AI_happy_woman_01.jpg,ai,female,happy,right,0.5860195829882286,True,False,angelo,001,
,,3,AI_happy_woman_04.jpg,ai,female,happy,right,0.5052069170051254,True,False,angelo,001,
,,4,AI_sad_man_03.jpg,ai,male,sad,left,0.6902091249939986,True,False,angelo,001,
,,5,ai_happy_man_03.jpg,ai,male,happy,right,0.6801519159926102,True,False,angelo,001,
,,6,real_man8_smiling.JPG,non-ai,male,happy,right,0.6241682499821763,True,False,angelo,001,
,,7,real_man20_sad.JPG,non-ai,male,sad,left,0.6323831670160871,True,False,angelo,001,
,,8,AI_sad_man_01.jpg,ai,male,sad,left,0.7166141250054352,True,False,angelo,001,
,,9,ai_happy_man_07.jpg,ai,male,happy,right,0.4648814170213882,True,False,angelo,001,
,,10,real_man9_smiling.JPG,non-ai,male,happy,right,0.45632270799251273,True,False,angelo,001,
,,11,real_woman18_sad.JPG,non-ai,female,sad,left,0.44941416700021364,True,False,angelo,001,
,,12,AI_sad_man_08.jpg,ai,male,sad,right,0.8792295419843867,False,False,angelo,001,
,,13,real_woman14_sad.JPG,non-ai,female,sad,left,0.58794399999897,True,False,angelo,001,
,,14,real_woman2_smiling.JPG,non-ai,female,happy,right,0.7006902919965796,True,False,angelo,001,
,,15,AI_sad_woman_05.jpg,ai,female,sad,left,0.7093707910098601,True,False,angelo,001,
,,16,real_woman4_smiling.JPG,non-ai,female,happy,right,0.7072385830106214,True,False,angelo,001,
,,17,AI_happy_woman_09.jpg,ai,female,happy,right,0.6393802079837769,True,False,angelo,001,
,,18,real_man17_sad.JPG,non-ai,male,sad,left,0.5549990409926977,True,False,angelo,001,
,,19,ai_happy_man_08.jpg,ai,male,happy,right,0.4774675840162672,True,False,angelo,001,
,,20,AI_sad_man_06.jpg,ai,male,sad,left,0.6149087079975288,True,False,angelo,001,
,,21,AI_sad_man_02.jpg,ai,male,sad,left,0.5277131669863593,True,False,angelo,001,
,,22,real_woman20_sad.JPG,non-ai,female,sad,left,0.5713480419944972,True,False,angelo,001,
,,23,real_man19_sad.JPG,non-ai,male,sad,left,0.5949651669943705,True,False,angelo,001,
,,24,real_man2_smiling.JPG,non-ai,male,happy,right,0.7778078750125133,True,False,angelo,001,
,,25,real_man4_smiling.JPG,non-ai,male,happy,right,0.543248957983451,True,False,angelo,001,
,,26,AI_sad_man_05.jpg,ai,male,sad,left,0.5319121250067838,True,False,angelo,001,
