thisRow.t,notes,trial_index,filename,source,gender,emotion,resp_key,rt,correct,missing_file,participant,session,
,,1,AI_sad_woman_02.jpg,ai,female,sad,left,0.5655518340063281,True,False,ayal,001,
,,2,real_woman12_sad.JPG,non-ai,female,sad,left,0.4750242089794483,True,False,ayal,001,
,,3,AI_happy_woman_10.jpg,ai,female,happy,right,0.4501975829771254,True,False,ayal,001,
,,4,real_man20_sad.JPG,non-ai,male,sad,left,0.5903111660154536,True,False,ayal,001,
,,5,AI_happy_woman_04.jpg,ai,female,happy,right,0.5731473750201985,True,False,ayal,001,
,,6,AI_sad_man_07.jpg,ai,male,sad,left,0.6715902909927536,True,False,ayal,001,
,,7,ai_happy_man_06.jpg,ai,male,happy,right,0.5214724169927649,True,False,ayal,001,
,,8,AI_happy_woman_03.jpg,ai,female,happy,right,0.6402857089997269,True,False,ayal,001,
,,9,real_man5_smiling.JPG,non-ai,male,happy,right,0.5974382499989588,True,False,ayal,001,
,,10,real_woman2_smiling.JPG,non-ai,female,happy,right,0.5300233750022016,True,False,ayal,001,
,,11,real_woman1_smiling.JPG,non-ai,female,happy,right,0.5040764999866951,True,False,ayal,001,
,,12,AI_sad_woman_03.jpg,ai,female,sad,left,0.5239882080059033,True,False,ayal,001,
,,13,AI_sad_man_10.jpg,ai,male,sad,left,0.5320928340079263,True,False,ayal,001,
,,14,real_woman15_sad.JPG,non-ai,female,sad,left,0.599117457983084,True,False,ayal,001,
,,15,real_woman4_smiling.JPG,non-ai,female,happy,right,0.5191548329894431,True,False,ayal,001,
,,16,real_man14_sad.JPG,non-ai,male,sad,left,0.755651042010868,True,False,ayal,001,
,,17,real_man10_smiling.JPG,non-ai,male,happy,right,0.5418874580063857,True,False,ayal,001,
,,18,AI_sad_woman_08.jpg,ai,female,sad,left,0.5411012920085341,True,False,ayal,001,
,,19,real_man15_sad.JPG,non-ai,male,sad,left,0.5632176249928307,True,False,ayal,001,
,,20,real_woman13_sad.JPG,non-ai,female,sad,left,0.5063072089978959,True,False,ayal,001,
,,21,AI_happy_woman_02.jpg,ai,female,happy,right,0.5461333749990445,True,False,ayal,001,
,,22,ai_happy_man_10.jpg,ai,male,happy,right,0.5498184580064844,True,False,ayal,001,
,,23,real_man16_sad.JPG,non-ai,male,sad,left,0.5785079160123132,True,False,ayal,001,
,,24,AI_sad_man_05.jpg,ai,male,sad,left,0.5292763339821249,True,False,ayal,001,
,,25,AI_happy_woman_01.jpg,ai,female,happy,right,0.5332154580100905,True,False,ayal,001,
,,26,AI_sad_man_04.jpg,ai,male,sad,left,0.7132669999846257,True,False,ayal,001,
,,27,real_man9_smiling.JPG,non-ai,male,happy,right,0.6252280840126332,True,False,ayal,001,
,,28,real_man8_smiling.JPG,non-ai,male,happy,right,0.4772102090064436,True,False,ayal,001,
,,29,AI_sad_man_09.jpg,ai,male,sad,left,0.5387055829924066,True,False,ayal,001,
,,30,real_man3_smiling.JPG,non-ai,male,happy,right,0.48116016600397415,True,False,ayal,001,
,,31,real_man2_smiling.JPG,non-ai,male,happy,right,0.5734191660012584,True,False,ayal,001,
,,32,ai_happy_man_09.jpg,ai,male,happy,right,0.5393226250016596,True,False,ayal,001,
,,33,real_woman16_sad.JPG,non-ai,female,sad,left,0.5606018749822397,True,False,ayal,001,
,,34,ai_happy_man_04.jpg,ai,male,happy,right,0.4862769999890588,True,False,ayal,001,
,,35,real_man6_smiling.JPG,non-ai,male,happy,right,0.544364500005031,True,False,ayal,001,
,,36,AI_sad_man_06.jpg,ai,male,sad,left,0.588973291014554,True,False,ayal,001,
,,37,AI_happy_woman_07.jpg,ai,female,happy,right,0.5983145000063814,True,False,ayal,001,
,,38,AI_happy_woman_06.jpg,ai,female,happy,right,0.5912088330078404,True,False,ayal,001,
,,39,real_woman3_smiling.JPG,non-ai,female,happy,right,0.5822545829869341,True,False,ayal,001,
,,40,ai_happy_man_01.jpg,ai,male,happy,right,0.5976522499986459,True,False,ayal,001,
,,41,real_man7_smiling.JPG,non-ai,male,happy,right,0.48397791699972004,True,False,ayal,001,
,,42,real_woman18_sad.JPG,non-ai,female,sad,left,0.7085194580140524,True,False,ayal,001,
,,43,real_man11_sad.JPG,non-ai,male,sad,left,0.63495987499482,True,False,ayal,001,
,,44,real_woman17_sad.JPG,non-ai,female,sad,left,0.6508372499956749,True,False,ayal,001,
,,45,real_woman10_smiling.JPG,non-ai,female,happy,right,0.6152887500065845,True,False,ayal,001,
,,46,AI_sad_woman_06.jpg,ai,female,sad,left,0.7092962090100627,True,False,ayal,001,
,,47,real_man12_sad.JPG,non-ai,male,sad,left,0.6876214170188177,True,False,ayal,001,
,,48,real_man17_sad.JPG,non-ai,male,sad,left,0.6816718749760184,True,False,ayal,001,
,,49,ai_happy_man_05.jpg,ai,male,happy,right,0.599947833979968,True,False,ayal,001,
,,50,AI_sad_man_03.jpg,ai,male,sad,left,0.7492166250012815,True,False,ayal,001,
,,51,ai_happy_man_02.jpg,ai,male,happy,right,0.618736042000819,True,False,ayal,001,
,,52,AI_happy_woman_09.jpg,ai,female,happy,right,0.6120997079997323,True,False,ayal,001,
,,53,ai_happy_man_08.jpg,ai,male,happy,right,0.6208806250069756,True,False,ayal,001,
,,54,real_man13_sad.JPG,non-ai,male,sad,left,0.6201343330030795,True,False,ayal,001,
,,55,AI_happy_woman_05.jpg,ai,female,happy,right,0.6132585830055177,True,False,ayal,001,
,,56,real_woman20_sad.JPG,non-ai,female,sad,left,0.5585091249959078,True,False,ayal,001,
,,57,real_man19_sad.JPG,non-ai,male,sad,left,0.570159833994694,True,False,ayal,001,
,,58,AI_sad_man_02.jpg,ai,male,sad,left,0.5863816250057425,True,False,ayal,001,
,,59,real_man4_smiling.JPG,non-ai,male,happy,right,0.5188952919852454,True,False,ayal,001,
,,60,AI_sad_woman_01.jpg,ai,female,sad,left,0.6269490829727147,True,False,ayal,001,
,,61,real_woman7_smiling.JPG,non-ai,female,happy,right,0.6249656669970136,True,False,ayal,001,
,,62,ai_happy_man_07.jpg,ai,male,happy,right,0.6424772079917602,True,False,ayal,001,
