trial_index,filename,source,gender,emotion,rt,correct
2,AI_sad_man_08.jpg,ai,male,sad,0.6134205829876009,True
3,real_woman12_sad.JPG,non-ai,female,sad,0.6398931250150781,True
4,real_man6_smiling.JPG,non-ai,male,happy,0.6051459159934893,True
5,real_woman17_sad.JPG,non-ai,female,sad,0.49548316601431,True
6,AI_sad_woman_08.jpg,ai,female,sad,0.4308722499990836,True
7,real_woman16_sad.JPG,non-ai,female,sad,0.4266378329775762,True
8,real_woman9_smiling.JPG,non-ai,female,happy,0.5361735420010518,True
9,ai_happy_man_03.jpg,ai,male,happy,0.480968167015817,True
10,AI_sad_man_10.jpg,ai,male,sad,0.5806108750111889,True
11,ai_happy_man_02.jpg,ai,male,happy,0.5382355840119999,True
12,real_woman13_sad.JPG,non-ai,female,sad,0.5230379999848083,True
13,real_woman4_smiling.JPG,non-ai,female,happy,0.5294260839873459,True
14,AI_sad_woman_03.jpg,ai,female,sad,0.4294346669921651,True
15,real_man8_smiling.JPG,non-ai,male,happy,0.4330304169852752,True
16,AI_happy_woman_04.jpg,ai,female,happy,0.4984443330031354,True
17,AI_sad_man_06.jpg,ai,male,sad,0.4931197499972768,True
18,real_man13_sad.JPG,non-ai,male,sad,0.5610817080014385,True
19,AI_sad_man_05.jpg,ai,male,sad,0.478087208000943,True
20,real_man11_sad.JPG,non-ai,male,sad,0.451736000017263,True
21,AI_happy_woman_08.jpg,ai,female,happy,0.432957000011811,True
22,real_man4_smiling.JPG,non-ai,male,happy,0.4869729579950217,True
23,real_man14_sad.JPG,non-ai,male,sad,0.624607791978633,True
24,real_woman19_sad.JPG,non-ai,female,sad,0.3922742500144522,True
25,AI_sad_woman_09.jpg,ai,female,sad,0.4011434580024797,True
26,real_woman20_sad.JPG,non-ai,female,sad,0.6230288329825271,True
27,real_woman14_sad.JPG,non-ai,female,sad,0.4358322079933714,True
28,real_woman1_smiling.JPG,non-ai,female,happy,0.3941334580013063,True
29,real_man2_smiling.JPG,non-ai,male,happy,0.408290792023763,True
30,AI_sad_man_09.jpg,ai,male,sad,0.3586273750115651,True
31,AI_sad_woman_07.jpg,ai,female,sad,0.4270818329823669,True
32,AI_happy_woman_02.jpg,ai,female,happy,0.4906132500036619,True
33,real_man5_smiling.JPG,non-ai,male,happy,0.4432570839999243,True
34,real_man9_smiling.JPG,non-ai,male,happy,0.4166032909997739,True
35,real_woman2_smiling.JPG,non-ai,female,happy,0.3863353749911766,True
36,real_woman7_smiling.JPG,non-ai,female,happy,0.366227082995465,True
37,AI_sad_woman_05.jpg,ai,female,sad,0.5168789169983938,True
38,AI_sad_man_02.jpg,ai,male,sad,0.4458330839988775,True
39,ai_happy_man_09.jpg,ai,male,happy,0.4651842089951969,True
40,real_man20_sad.JPG,non-ai,male,sad,0.6039212089963257,True
42,real_woman8_smiling.JPG,non-ai,female,happy,0.4012265829951502,True
43,ai_happy_man_10.jpg,ai,male,happy,0.3551320420228876,True
44,AI_happy_woman_06.jpg,ai,female,happy,0.5544255830172915,True
45,real_woman3_smiling.JPG,non-ai,female,happy,0.4087367079919204,True
46,real_woman11_sad.JPG,non-ai,female,sad,0.4508501249947585,True
47,real_man7_smiling.JPG,non-ai,male,happy,0.5959433330281172,True
48,AI_sad_man_07.jpg,ai,male,sad,0.7190950829826761,True
49,AI_happy_woman_01.jpg,ai,female,happy,0.5297455840045586,True
50,real_man19_sad.JPG,non-ai,male,sad,0.4327730830118526,True
51,real_woman18_sad.JPG,non-ai,female,sad,0.4792565420211758,True
52,AI_sad_woman_02.jpg,ai,female,sad,0.4243807080201804,True
53,AI_sad_man_03.jpg,ai,male,sad,0.3771372919727582,True
54,ai_happy_man_05.jpg,ai,male,happy,0.6111458329833113,True
55,real_woman6_smiling.JPG,non-ai,female,happy,0.3965815829869825,True
56,real_man17_sad.JPG,non-ai,male,sad,0.4671057499945164,True
57,ai_happy_man_01.jpg,ai,male,happy,0.5830594580038451,True
58,real_man3_smiling.JPG,non-ai,male,happy,0.4940638749976642,True
59,AI_happy_woman_10.jpg,ai,female,happy,0.4632214169832878,True
60,real_man16_sad.JPG,non-ai,male,sad,0.4504774170054588,True
61,real_man10_smiling.JPG,non-ai,male,happy,0.4046018330263905,True
62,AI_happy_woman_07.jpg,ai,female,happy,0.4133277079963591,True
63,real_man15_sad.JPG,non-ai,male,sad,0.6091495839937124,True
64,AI_happy_woman_09.jpg,ai,female,happy,0.3922614170005545,True
65,real_woman10_smiling.JPG,non-ai,female,happy,0.5631489170191344,True
66,AI_sad_man_04.jpg,ai,male,sad,0.6593776250083465,True
67,real_woman15_sad.JPG,non-ai,female,sad,0.4447210000071209,True
68,real_man12_sad.JPG,non-ai,male,sad,0.3674625419953372,True
69,AI_happy_woman_03.jpg,ai,female,happy,0.5488220000115689,True
70,ai_happy_man_04.jpg,ai,male,happy,0.4347334170015529,True
71,real_man18_sad.JPG,non-ai,male,sad,0.4513664160040207,True
72,AI_sad_woman_01.jpg,ai,female,sad,0.3758859999943524,True
73,AI_happy_woman_05.jpg,ai,female,happy,0.5540419589960948,True
74,AI_sad_woman_06.jpg,ai,female,sad,0.6275597079948056,True
75,real_woman5_smiling.JPG,non-ai,female,happy,0.6399742079956923,True
76,AI_sad_man_01.jpg,ai,male,sad,0.3920322500052862,True
77,AI_sad_woman_04.jpg,ai,female,sad,0.5891973749967292,True
78,ai_happy_man_08.jpg,ai,male,happy,0.3930203749914653,True
79,ai_happy_man_06.jpg,ai,male,happy,0.5328512499982025,True
