thisRow.t,notes,trial_index,filename,source,gender,emotion,resp_key,rt,correct,missing_file,participant,session,
,,1,real_woman12_sad.JPG,non-ai,female,sad,left,0.5204533330106642,True,False,ofir,001,
,,2,real_man1_smiling.JPG,non-ai,male,happy,right,0.375187375000678,True,False,ofir,001,
,,3,real_man14_sad.JPG,non-ai,male,sad,right,0.4865692910098005,False,False,ofir,001,
,,4,AI_sad_woman_08.jpg,ai,female,sad,left,0.46725512499688193,True,False,ofir,001,
,,5,ai_happy_man_04.jpg,ai,male,happy,right,0.43178174999775365,True,False,ofir,001,
,,6,AI_happy_woman_04.jpg,ai,female,happy,left,0.46006820801994763,False,False,ofir,001,
,,7,AI_happy_woman_01.jpg,ai,female,happy,right,0.564611458015861,True,False,ofir,001,
,,8,AI_sad_man_07.jpg,ai,male,sad,left,0.440156416996615,True,False,ofir,001,
,,9,AI_happy_woman_02.jpg,ai,female,happy,right,0.5159387919993605,True,False,ofir,001,
,,10,AI_happy_woman_06.jpg,ai,female,happy,right,0.45568862502113916,True,False,ofir,001,
,,11,AI_happy_woman_05.jpg,ai,female,happy,right,0.353814665984828,True,False,ofir,001,
,,12,real_man6_smiling.JPG,non-ai,male,happy,right,0.308521250000922,True,False,ofir,001,
,,13,AI_happy_woman_07.jpg,ai,female,happy,right,0.3568584159947932,True,False,ofir,001,
,,14,real_woman6_smiling.JPG,non-ai,female,happy,right,0.3406257500173524,True,False,ofir,001,
,,15,real_woman9_smiling.JPG,non-ai,female,happy,right,0.36698141699889675,True,False,ofir,001,
,,16,real_man19_sad.JPG,non-ai,male,sad,left,0.41211249999469146,True,False,ofir,001,
,,17,real_woman10_smiling.JPG,non-ai,female,happy,right,0.38602037500822917,True,False,ofir,001,
,,18,real_man15_sad.JPG,non-ai,male,sad,left,0.33110199999646284,True,False,ofir,001,
,,19,real_man10_smiling.JPG,non-ai,male,happy,right,0.3852637920062989,True,False,ofir,001,
,,20,AI_sad_man_05.jpg,ai,male,sad,left,0.24081724998541176,True,False,ofir,001,
,,21,AI_happy_woman_08.jpg,ai,female,happy,right,0.29432174999965355,True,False,ofir,001,
,,22,real_woman8_smiling.JPG,non-ai,female,happy,right,0.6065105000161566,True,False,ofir,001,
,,23,real_man18_sad.JPG,non-ai,male,sad,left,0.30823670799145475,True,False,ofir,001,
,,24,AI_sad_man_08.jpg,ai,male,sad,right,0.3288613750191871,False,False,ofir,001,
,,25,AI_sad_woman_03.jpg,ai,female,sad,left,0.46734166698297486,True,False,ofir,001,
,,26,ai_happy_man_07.jpg,ai,male,happy,right,0.6234111670055427,True,False,ofir,001,
,,27,real_woman18_sad.JPG,non-ai,female,sad,left,0.5652987500070594,True,False,ofir,001,
,,28,real_woman15_sad.JPG,non-ai,female,sad,left,0.45310404198244214,True,False,ofir,001,
,,29,real_man8_smiling.JPG,non-ai,male,happy,right,0.3960617909906432,True,False,ofir,001,
,,30,AI_sad_man_06.jpg,ai,male,sad,left,0.31448525001178496,True,False,ofir,001,
,,31,ai_happy_man_08.jpg,ai,male,happy,right,0.38400729099521413,True,False,ofir,001,
,,32,real_man11_sad.JPG,non-ai,male,sad,left,0.31428933300776407,True,False,ofir,001,
,,33,ai_happy_man_05.jpg,ai,male,happy,right,0.4016239159973338,True,False,ofir,001,
,,34,ai_happy_man_06.jpg,ai,male,happy,right,0.42442037499859,True,False,ofir,001,
,,35,AI_sad_woman_07.jpg,ai,female,sad,left,0.5093580420070793,True,False,ofir,001,
,,36,real_woman13_sad.JPG,non-ai,female,sad,left,0.36031429198919795,True,False,ofir,001,
,,37,real_man7_smiling.JPG,non-ai,male,happy,right,0.40332954202312976,True,False,ofir,001,
,,38,real_man5_smiling.JPG,non-ai,male,happy,right,0.4072183750104159,True,False,ofir,001,
,,39,real_woman20_sad.JPG,non-ai,female,sad,left,0.4219186670088675,True,False,ofir,001,
,,40,AI_happy_woman_10.jpg,ai,female,happy,right,0.5922356249939185,True,False,ofir,001,
,,41,real_man17_sad.JPG,non-ai,male,sad,left,0.8646711659966968,True,False,ofir,001,
,,42,real_woman16_sad.JPG,non-ai,female,sad,left,0.6382183330133557,True,False,ofir,001,
,,43,real_woman7_smiling.JPG,non-ai,female,happy,right,0.5611642080184538,True,False,ofir,001,
,,44,real_man2_smiling.JPG,non-ai,male,happy,right,0.654257417016197,True,False,ofir,001,
,,45,AI_sad_man_03.jpg,ai,male,sad,left,0.44809904097928666,True,False,ofir,001,
,,46,AI_sad_woman_02.jpg,ai,female,sad,left,0.4255918340058997,True,False,ofir,001,
,,47,AI_sad_man_01.jpg,ai,male,sad,left,0.42219420897890814,True,False,ofir,001,
,,48,real_woman19_sad.JPG,non-ai,female,sad,left,0.4343756669841241,True,False,ofir,001,
,,49,AI_sad_man_02.jpg,ai,male,sad,left,0.36046854199958034,True,False,ofir,001,
,,50,ai_happy_man_01.jpg,ai,male,happy,left,0.5581839579972439,False,False,ofir,001,
,,51,ai_happy_man_09.jpg,ai,male,happy,right,0.6006110410089605,True,False,ofir,001,
,,52,real_woman14_sad.JPG,non-ai,female,sad,left,0.6038141669996548,True,False,ofir,001,
,,53,ai_happy_man_10.jpg,ai,male,happy,right,0.5095214580069296,True,False,ofir,001,
,,54,real_woman4_smiling.JPG,non-ai,female,happy,left,0.5284514590166509,False,False,ofir,001,
,,55,real_man3_smiling.JPG,non-ai,male,happy,left,0.6201670000154991,False,False,ofir,001,
,,56,real_man16_sad.JPG,non-ai,male,sad,left,0.5151447500102222,True,False,ofir,001,
,,57,AI_happy_woman_09.jpg,ai,female,happy,right,0.4925840419891756,True,False,ofir,001,
,,58,AI_sad_woman_06.jpg,ai,female,sad,left,0.5958558750280645,True,False,ofir,001,
,,59,AI_sad_woman_01.jpg,ai,female,sad,left,0.45561208299477585,True,False,ofir,001,
,,60,real_woman5_smiling.JPG,non-ai,female,happy,right,0.4762182499980554,True,False,ofir,001,
,,61,real_man20_sad.JPG,non-ai,male,sad,right,0.40436412498820573,False,False,ofir,001,
,,62,AI_sad_woman_04.jpg,ai,female,sad,left,0.5893417499901261,True,False,ofir,001,
,,63,AI_sad_man_09.jpg,ai,male,sad,left,0.41328320899629034,True,False,ofir,001,
,,64,AI_happy_woman_03.jpg,ai,female,happy,right,0.3986738749954384,True,False,ofir,001,
,,65,AI_sad_man_04.jpg,ai,male,sad,left,0.3225932919885963,True,False,ofir,001,
,,66,real_woman1_smiling.JPG,non-ai,female,happy,right,0.4995110419986304,True,False,ofir,001,
,,67,real_woman17_sad.JPG,non-ai,female,sad,left,0.4675127920054365,True,False,ofir,001,
,,68,real_man12_sad.JPG,non-ai,male,sad,left,0.39432099999976344,True,False,ofir,001,
,,69,AI_sad_man_10.jpg,ai,male,sad,left,0.3854871670191642,True,False,ofir,001,
,,70,real_man13_sad.JPG,non-ai,male,sad,left,0.33687045800616033,True,False,ofir,001,
,,71,real_man4_smiling.JPG,non-ai,male,happy,right,0.4793525410059374,True,False,ofir,001,
,,72,real_woman11_sad.JPG,non-ai,female,sad,left,0.4401565419975668,True,False,ofir,001,
,,73,real_woman3_smiling.JPG,non-ai,female,happy,right,0.4245896670036018,True,False,ofir,001,
,,74,AI_sad_woman_09.jpg,ai,female,sad,left,0.3829937079863157,True,False,ofir,001,
,,75,ai_happy_man_03.jpg,ai,male,happy,right,0.35182604199508205,True,False,ofir,001,
,,76,AI_sad_woman_05.jpg,ai,female,sad,left,0.3753827079781331,True,False,ofir,001,
,,77,ai_happy_man_02.jpg,ai,male,happy,left,0.4212735830224119,False,False,ofir,001,
,,78,real_man9_smiling.JPG,non-ai,male,happy,right,0.44120816700160503,True,False,ofir,001,
,,79,real_woman2_smiling.JPG,non-ai,female,happy,right,0.44673404199420474,True,False,ofir,001,
