trial_index,filename,source,gender,emotion,rt,correct
1,AI_sad_woman_09.jpg,ai,female,sad,0.628163332992699,True
2,real_man17_sad.JPG,non-ai,male,sad,0.6523421659949236,True
3,ai_happy_man_02.jpg,ai,male,happy,0.6969060420233291,True
4,ai_happy_man_08.jpg,ai,male,happy,0.8307754170091357,True
5,real_man2_smiling.JPG,non-ai,male,happy,0.5652814999921247,True
6,AI_sad_man_01.jpg,ai,male,sad,0.6397117500018794,True
7,ai_happy_man_03.jpg,ai,male,happy,0.6785315829911269,True
8,real_man6_smiling.JPG,non-ai,male,happy,0.5371448330115527,True
9,real_woman17_sad.JPG,non-ai,female,sad,0.5752871249860618,True
10,real_man12_sad.JPG,non-ai,male,sad,0.6997725419932976,True
11,real_woman19_sad.JPG,non-ai,female,sad,0.5578160410223063,True
12,ai_happy_man_06.jpg,ai,male,happy,0.6284152500156779,True
13,AI_happy_woman_07.jpg,ai,female,happy,0.5563137499848381,True
14,AI_happy_woman_06.jpg,ai,female,happy,0.494133750005858,True
16,real_woman16_sad.JPG,non-ai,female,sad,0.5866529580089264,True
17,ai_happy_man_05.jpg,ai,male,happy,0.4973175000050105,True
18,ai_happy_man_09.jpg,ai,male,happy,0.662492208997719,True
19,real_man13_sad.JPG,non-ai,male,sad,0.6852225830079988,True
20,real_woman15_sad.JPG,non-ai,female,sad,0.6469078750233166,True
21,AI_happy_woman_03.jpg,ai,female,happy,0.5940296670014504,True
22,AI_sad_woman_07.jpg,ai,female,sad,0.8744407919875812,True
23,real_woman4_smiling.JPG,non-ai,female,happy,0.7965282080112956,True
24,real_man1_smiling.JPG,non-ai,male,happy,0.6685859159915708,True
25,ai_happy_man_04.jpg,ai,male,happy,0.4993610000237822,True
26,AI_happy_woman_09.jpg,ai,female,happy,0.5323862500081304,True
27,real_woman10_smiling.JPG,non-ai,female,happy,0.5258263330033515,True
28,AI_sad_man_02.jpg,ai,male,sad,0.6466749579994939,True
29,real_man16_sad.JPG,non-ai,male,sad,0.738159332977375,True
30,ai_happy_man_07.jpg,ai,male,happy,0.8313615829974879,True
32,real_woman6_smiling.JPG,non-ai,female,happy,0.4593551250000018,True
33,real_woman9_smiling.JPG,non-ai,female,happy,0.477106417005416,True
34,AI_happy_woman_08.jpg,ai,female,happy,0.4661850840202532,True
35,real_woman5_smiling.JPG,non-ai,female,happy,0.4140770839876495,True
36,AI_sad_woman_05.jpg,ai,female,sad,0.6231717919872608,True
37,real_woman13_sad.JPG,non-ai,female,sad,0.6950529589958023,True
38,real_man3_smiling.JPG,non-ai,male,happy,0.5366813750006258,True
39,real_man20_sad.JPG,non-ai,male,sad,0.5649383750278503,True
40,AI_sad_woman_03.jpg,ai,female,sad,0.506074582983274,True
41,real_woman14_sad.JPG,non-ai,female,sad,0.7361334580054972,True
42,real_man11_sad.JPG,non-ai,male,sad,0.5201816670014523,True
43,real_woman11_sad.JPG,non-ai,female,sad,0.5934394159994554,True
44,AI_sad_woman_02.jpg,ai,female,sad,0.4862782080017496,True
45,real_woman7_smiling.JPG,non-ai,female,happy,0.6579132080078125,True
46,ai_happy_man_10.jpg,ai,male,happy,0.568533124984242,True
48,real_man15_sad.JPG,non-ai,male,sad,0.6106894169934094,True
49,real_man14_sad.JPG,non-ai,male,sad,0.5409101250115782,True
50,AI_sad_woman_06.jpg,ai,female,sad,0.5011692920234054,True
51,real_woman2_smiling.JPG,non-ai,female,happy,0.567277499998454,True
52,AI_sad_woman_08.jpg,ai,female,sad,0.7893660419795197,True
53,AI_sad_man_03.jpg,ai,male,sad,0.6553748750011437,True
54,AI_sad_woman_10.jpg,ai,female,sad,0.6002703330013901,True
55,AI_happy_woman_02.jpg,ai,female,happy,0.4935943329764996,True
56,AI_sad_man_07.jpg,ai,male,sad,0.4805417089955881,True
57,AI_sad_woman_04.jpg,ai,female,sad,0.6666542919992935,True
58,AI_sad_man_06.jpg,ai,male,sad,0.4344037499977276,True
59,AI_sad_man_10.jpg,ai,male,sad,0.4743472500122152,True
60,AI_happy_woman_04.jpg,ai,female,happy,0.5662011669774074,True
61,real_man9_smiling.JPG,non-ai,male,happy,0.4893585410027299,True
62,AI_sad_man_05.jpg,ai,male,sad,0.534201166999992,True
63,real_woman8_smiling.JPG,non-ai,female,happy,0.5307030830008443,True
64,AI_sad_man_09.jpg,ai,male,sad,0.4940554170170799,True
65,real_man4_smiling.JPG,non-ai,male,happy,0.6092866249964572,False
66,AI_happy_woman_05.jpg,ai,female,happy,0.645604249992175,True
67,AI_sad_woman_01.jpg,ai,female,sad,0.5791362089803442,True
68,real_man8_smiling.JPG,non-ai,male,happy,0.5667439169774298,True
69,real_woman1_smiling.JPG,non-ai,female,happy,0.4923838330141734,True
70,AI_happy_woman_01.jpg,ai,female,happy,0.527987374982331,True
71,real_man18_sad.JPG,non-ai,male,sad,0.8482581670104992,True
72,real_man10_smiling.JPG,non-ai,male,happy,0.8474502909812145,True
73,AI_happy_woman_10.jpg,ai,female,happy,0.5946080830181018,True
74,real_man19_sad.JPG,non-ai,male,sad,0.7451973330171313,True
75,AI_sad_man_04.jpg,ai,male,sad,0.5287149170180783,True
76,real_woman20_sad.JPG,non-ai,female,sad,0.7074124159989879,True
77,real_woman3_smiling.JPG,non-ai,female,happy,0.4719941660005133,True
78,AI_sad_man_08.jpg,ai,male,sad,0.6750284169975203,True
79,real_woman18_sad.JPG,non-ai,female,sad,0.4849621659959666,True
80,ai_happy_man_01.jpg,ai,male,happy,0.8650308749929536,True
