thisRow.t,notes,trial_index,filename,source,gender,emotion,resp_key,rt,correct,missing_file,participant,session,
,,1,real_man7_smiling.JPG,non-ai,male,happy,right,0.029379207990132272,True,False,peleg,001,
,,2,AI_sad_woman_02.jpg,ai,female,sad,left,0.45361333299661055,True,False,peleg,001,
,,3,AI_sad_woman_06.jpg,ai,female,sad,left,0.4535685419978108,True,False,peleg,001,
,,4,real_man8_smiling.JPG,non-ai,male,happy,right,0.42189716701977886,True,False,peleg,001,
,,5,real_man6_smiling.JPG,non-ai,male,happy,right,0.42421454199939035,True,False,peleg,001,
,,6,AI_sad_man_10.jpg,ai,male,sad,left,0.4677693329867907,True,False,peleg,001,
,,7,real_woman1_smiling.JPG,non-ai,female,happy,right,0.4554814580187667,True,False,peleg,001,
,,8,AI_sad_man_07.jpg,ai,male,sad,left,0.6293554159929045,True,False,peleg,001,
,,9,ai_happy_man_07.jpg,ai,male,happy,right,0.38194437499623746,True,False,peleg,001,
,,10,AI_sad_woman_01.jpg,ai,female,sad,left,0.5208475000108592,True,False,peleg,001,
,,11,real_woman13_sad.JPG,non-ai,female,sad,right,0.3683326250175014,False,False,peleg,001,
,,12,real_man9_smiling.JPG,non-ai,male,happy,right,0.48251612499007024,True,False,peleg,001,
,,13,real_man16_sad.JPG,non-ai,male,sad,left,0.6238391249789856,True,False,peleg,001,
,,14,AI_happy_woman_04.jpg,ai,female,happy,right,0.4444950000033714,True,False,peleg,001,
,,15,real_woman18_sad.JPG,non-ai,female,sad,left,0.44999537500552833,True,False,peleg,001,
,,16,AI_sad_man_09.jpg,ai,male,sad,right,0.39374937501270324,False,False,peleg,001,
,,17,real_man1_smiling.JPG,non-ai,male,happy,left,0.46556075001717545,False,False,peleg,001,
,,18,real_woman5_smiling.JPG,non-ai,female,happy,right,0.813375083002029,True,False,peleg,001,
,,19,AI_happy_woman_03.jpg,ai,female,happy,right,0.5516932499886025,True,False,peleg,001,
,,20,real_woman9_smiling.JPG,non-ai,female,happy,right,0.5067932079837192,True,False,peleg,001,
,,21,AI_sad_man_03.jpg,ai,male,sad,left,0.5151203749992419,True,False,peleg,001,
,,22,AI_sad_woman_03.jpg,ai,female,sad,left,0.48871808298281394,True,False,peleg,001,
,,23,real_woman3_smiling.JPG,non-ai,female,happy,left,0.8459879579895642,False,False,peleg,001,
,,24,real_man10_smiling.JPG,non-ai,male,happy,right,0.6324629159935284,True,False,peleg,001,
,,25,real_woman14_sad.JPG,non-ai,female,sad,left,0.7465220419981051,True,False,peleg,001,
,,26,real_woman11_sad.JPG,non-ai,female,sad,left,0.5491780839802232,True,False,peleg,001,
,,27,real_woman2_smiling.JPG,non-ai,female,happy,right,0.46092920799856074,True,False,peleg,001,
,,28,ai_happy_man_10.jpg,ai,male,happy,right,0.5564959999755956,True,False,peleg,001,
,,29,AI_sad_man_06.jpg,ai,male,sad,right,0.582700874976581,False,False,peleg,001,
,,30,AI_happy_woman_01.jpg,ai,female,happy,right,0.7030789580021519,True,False,peleg,001,
,,31,real_man3_smiling.JPG,non-ai,male,happy,right,0.5299162500014063,True,False,peleg,001,
,,32,AI_sad_man_08.jpg,ai,male,sad,left,0.43144041701452807,True,False,peleg,001,
,,33,real_woman15_sad.JPG,non-ai,female,sad,left,0.548738334007794,True,False,peleg,001,
,,34,real_man11_sad.JPG,non-ai,male,sad,left,0.5069221669982653,True,False,peleg,001,
,,35,AI_sad_woman_08.jpg,ai,female,sad,left,0.49999058298999444,True,False,peleg,001,
,,36,real_woman17_sad.JPG,non-ai,female,sad,left,0.4438169999921229,True,False,peleg,001,
,,37,ai_happy_man_06.jpg,ai,male,happy,left,0.31939304200932384,False,False,peleg,001,
,,38,ai_happy_man_05.jpg,ai,male,happy,right,0.666073582979152,True,False,peleg,001,
,,39,ai_happy_man_04.jpg,ai,male,happy,right,0.5295465829840396,True,False,peleg,001,
,,40,real_man14_sad.JPG,non-ai,male,sad,left,0.46335387500585057,True,False,peleg,001,
,,41,AI_happy_woman_05.jpg,ai,female,happy,right,0.6993172910006251,True,False,peleg,001,
,,42,real_man4_smiling.JPG,non-ai,male,happy,right,0.5894057499826886,True,False,peleg,001,
