thisRow.t,notes,trial_index,filename,source,gender,emotion,resp_key,rt,correct,missing_file,participant,session,
,,1,ai_happy_man_08.jpg,ai,male,happy,right,0.8053085419815034,True,False,tamar,001,
,,2,real_man4_smiling.JPG,non-ai,male,happy,right,0.5339415000053123,True,False,tamar,001,
,,3,real_man17_sad.JPG,non-ai,male,sad,left,0.612825000018347,True,False,tamar,001,
,,4,real_woman19_sad.JPG,non-ai,female,sad,left,0.5178771660139319,True,False,tamar,001,
,,5,real_man8_smiling.JPG,non-ai,male,happy,right,0.5361721669905819,True,False,tamar,001,
,,6,real_man3_smiling.JPG,non-ai,male,happy,right,0.4780787499912549,True,False,tamar,001,
,,7,AI_sad_man_04.jpg,ai,male,sad,left,0.5697703750047367,True,False,tamar,001,
,,8,real_woman17_sad.JPG,non-ai,female,sad,left,0.643725625006482,True,False,tamar,001,
,,9,ai_happy_man_04.jpg,ai,male,happy,right,0.5239099580212496,True,False,tamar,001,
,,10,real_woman8_smiling.JPG,non-ai,female,happy,right,0.5655411669868045,True,False,tamar,001,
,,11,real_man14_sad.JPG,non-ai,male,sad,left,0.48712591698858887,True,False,tamar,001,
,,12,AI_sad_woman_01.jpg,ai,female,sad,left,0.6335192919941619,True,False,tamar,001,
,,13,real_man5_smiling.JPG,non-ai,male,happy,right,0.5703777080052532,True,False,tamar,001,
,,14,AI_happy_woman_09.jpg,ai,female,happy,right,0.5557035420206375,True,False,tamar,001,
,,15,AI_sad_woman_06.jpg,ai,female,sad,left,0.4937229579954874,True,False,tamar,001,
,,16,real_woman16_sad.JPG,non-ai,female,sad,left,0.8941833330027293,True,False,tamar,001,
,,17,real_woman14_sad.JPG,non-ai,female,sad,left,0.669419415993616,True,False,tamar,001,
,,18,real_woman1_smiling.JPG,non-ai,female,happy,right,0.564962167001795,True,False,tamar,001,
,,19,ai_happy_man_02.jpg,ai,male,happy,right,0.7825275840004906,True,False,tamar,001,
,,20,AI_sad_woman_08.jpg,ai,female,sad,left,0.7619402919954155,True,False,tamar,001,
,,21,AI_sad_man_10.jpg,ai,male,sad,left,0.5455820419883821,True,False,tamar,001,
,,22,AI_sad_man_05.jpg,ai,male,sad,left,0.7235296659928281,True,False,tamar,001,
,,23,real_woman6_smiling.JPG,non-ai,female,happy,right,0.5329028749838471,True,False,tamar,001,
,,24,real_man7_smiling.JPG,non-ai,male,happy,right,0.5607257499941625,True,False,tamar,001,
,,25,real_woman18_sad.JPG,non-ai,female,sad,left,0.5393594159977511,True,False,tamar,001,
,,26,AI_sad_man_06.jpg,ai,male,sad,left,0.6025834580068476,True,False,tamar,001,
,,27,AI_happy_woman_03.jpg,ai,female,happy,right,0.7306282079953235,True,False,tamar,001,
,,28,AI_sad_man_02.jpg,ai,male,sad,left,0.749647124990588,True,False,tamar,001,
,,29,AI_sad_man_03.jpg,ai,male,sad,left,0.7305256669933442,True,False,tamar,001,
,,30,real_man20_sad.JPG,non-ai,male,sad,left,0.4509772079763934,True,False,tamar,001,
,,31,real_woman13_sad.JPG,non-ai,female,sad,left,0.3731322500098031,True,False,tamar,001,
,,32,AI_happy_woman_08.jpg,ai,female,happy,right,0.4146889579715207,True,False,tamar,001,
,,33,real_woman10_smiling.JPG,non-ai,female,happy,right,0.857431959011592,True,False,tamar,001,
,,34,ai_happy_man_07.jpg,ai,male,happy,right,0.8155017079843674,True,False,tamar,001,
,,35,AI_sad_woman_03.jpg,ai,female,sad,left,0.9642461659968831,True,False,tamar,001,
,,36,AI_happy_woman_02.jpg,ai,female,happy,right,0.6696279590250924,True,False,tamar,001,
,,37,AI_sad_woman_07.jpg,ai,female,sad,left,0.793130125006428,True,False,tamar,001,
,,38,real_man10_smiling.JPG,non-ai,male,happy,right,0.9434390839887783,True,False,tamar,001,
,,39,real_man15_sad.JPG,non-ai,male,sad,left,0.8796789170010015,True,False,tamar,001,
,,40,AI_sad_woman_04.jpg,ai,female,sad,left,0.5955407909932546,True,False,tamar,001,
