thisRow.t,notes,trial_index,filename,source,gender,emotion,resp_key,rt,correct,missing_file,participant,session,
,,1,AI_sad_woman_08.jpg,ai,female,sad,left,0.5766835420217831,True,False,tia,001,
,,2,ai_happy_man_03.jpg,ai,male,happy,right,0.4922071250039153,True,False,tia,001,
,,3,AI_sad_woman_04.jpg,ai,female,sad,left,0.5116515420086216,True,False,tia,001,
,,4,AI_sad_man_01.jpg,ai,male,sad,left,0.4893557920004241,True,False,tia,001,
,,5,ai_happy_man_04.jpg,ai,male,happy,right,0.4736530420195777,True,False,tia,001,
,,6,AI_sad_man_05.jpg,ai,male,sad,left,0.48426116700284183,True,False,tia,001,
,,7,real_man5_smiling.JPG,non-ai,male,happy,right,0.5493516669957899,True,False,tia,001,
,,8,AI_happy_woman_06.jpg,ai,female,happy,right,0.5249328750069253,True,False,tia,001,
,,9,real_woman11_sad.JPG,non-ai,female,sad,left,0.5367847080051433,True,False,tia,001,
,,10,real_man14_sad.JPG,non-ai,male,sad,left,0.5220823750132695,True,False,tia,001,
,,11,AI_sad_man_04.jpg,ai,male,sad,left,0.49154683301458135,True,False,tia,001,
,,12,real_man9_smiling.JPG,non-ai,male,happy,right,0.5873653329908848,True,False,tia,001,
,,13,real_woman6_smiling.JPG,non-ai,female,happy,right,0.6619074580084998,True,False,tia,001,
,,14,real_man8_smiling.JPG,non-ai,male,happy,right,0.7381020840257406,True,False,tia,001,
,,15,AI_sad_man_03.jpg,ai,male,sad,left,0.6472129159956239,True,False,tia,001,
,,16,real_woman7_smiling.JPG,non-ai,female,happy,right,1.0199543750204612,True,False,tia,001,
,,17,AI_happy_woman_10.jpg,ai,female,happy,right,0.5576673329924233,True,False,tia,001,
,,18,real_man16_sad.JPG,non-ai,male,sad,left,0.6451435830094852,True,False,tia,001,
,,19,AI_happy_woman_08.jpg,ai,female,happy,right,0.5967372919840273,True,False,tia,001,
,,20,AI_sad_woman_09.jpg,ai,female,sad,left,0.7390222090180032,True,False,tia,001,
